"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"SF_ID";"SF_SKU";"SPICEPREFIX";"TP_SIGNAL_NAME";"VALUE";
"Q1";"2N2222";"TRANSISTOR_NPNWIDE";"SOT23-WIDE";"NPN Transistor";"";"";"";"";"";"";"";"";"";"";
"R1";"470R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R2";"470R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R3";"1K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R4";"1K2";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R5";"1K";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R6";"1.2K";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R7";"100R";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R8";"1K";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R9";"1K";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R10";"7K5";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R11";"1K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R12";"10";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R13";"10";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R14";"10";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R15";"1K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R16";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R17";"10";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R18";"1K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R19";"1K2";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"RN1";"10k";"4R-N0603-ARC";"0603-ARC";"Array Chip Resistor";"";"";"unknown";"unknown";"";"";"";"";"";"";
"S1";"";"SWITCH-SPDT-PTH-11.6X4.0MM";"SWITCH_SPDT_PTH_11.6X4.0MM";"Single Pole, Double Throw (SPDT) Switch";"";"";"";"";"SWCH-08261";"";"COM-00102";"";"";"";
"U$9";"SMA-SS34";"SMA-SS34";"SMA-SS34";"";"";"";"";"";"";"";"";"";"";"";
"U1";"DW01-P";"DW01-P";"SOT23-6L";"One Cell Lithium-ion/Polymer Battery Protection IC";"";"";"";"";"";"";"";"";"";"";
"U2";"8205A";"8205A";"TSSOP8";"DUAL N-CHANNEL MOSFET";"";"";"";"";"";"";"";"";"";"";
"U3";"TP4056";"TP4056";"SO08";"1A Standalone Linear Li-lon Battery Charger with Thermal Regulation";"";"";"";"";"";"";"";"";"";"";
"U4";"ADS1115";"MICROBUILDER_ADC_ADS1015";"MICROBUILDER_MSOP10";"ADS1015 - 12-bit 4-Channel I2C ADC with Internal PGA";"";"";"";"";"";"";"";"";"";"";
"U5";"PCM5102";"PCM5102";"TSSOP20";"";"";"";"";"";"";"";"";"";"";"";
"U6";"MT3608";"MT3608";"SOT23-6";"";"";"";"";"";"";"";"";"";"";"";
"USB";"USB-RECEPTABLE";"USB-RECEPTABLE";"FCI-10103594-0001LF";"USB Receptable";"";"";"";"";"";"";"";"";"";"";
